Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating,Ticker,Exchange,Status,Notes,total_funding_usd,arr_usd,industry_bucket
Microsoft,1975,"Redmond, WA, USA",Enterprise Software,$1B,$270B,$3T,"221,000","Bill Gates, Paul Allen","Azure, Office 365, Teams",4.4,MSFT,NASDAQ,Public,,1000000000.0,270000000000.0,Enterprise Software / ERP
Salesforce,1999,"San Francisco, CA, USA",CRM,$65.4M,$37.9B,$227.8B,"75,000","Halsey Minor, Larry Ellison","Sales Cloud, Service Cloud",4.3,CRM,NYSE,Public,,65400000.00000001,37900000000.0,"Marketing, Sales & CX"
Adobe,1982,"San Jose, CA, USA",Creative Software,$2.5M,$19.4B,$240B,"29,945",Hambrecht & Quist,"Creative Cloud, Document Cloud",4.5,ADBE,NASDAQ,Public,,2500000.0,19400000000.0,Design & Creative
Oracle,1977,"Austin, TX, USA",Database & Enterprise,$2K,$52.9B,$350B,"143,000","Larry Ellison, Bob Miner","Oracle Cloud, NetSuite",4.0,ORCL,NYSE,Public,,,52900000000.0,Enterprise Software / ERP
SAP,1972,"Walldorf, Germany",Enterprise Software,,$32.5B,$215B,"107,415","Dietmar Hopp, Klaus Tschira","S/4HANA, SuccessFactors",4.1,SAP,NYSE,Public,ADR,,32500000000.0,Enterprise Software / ERP
Intuit,1983,"Mountain View, CA, USA",Financial Software,$273M,$14.4B,$180B,"18,200","Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4,INTU,NASDAQ,Public,,273000000.0,14400000000.0,Fintech & Payments
ServiceNow,2004,"Santa Clara, CA, USA",IT Service Management,$82.5M,$8.9B,$147B,"20,000","JMI Equity, Sequoia Capital",IT Service Management Platform,4.4,NOW,NYSE,Public,,82500000.0,8900000000.0,DevOps & IT Operations
Workday,2005,"Pleasanton, CA, USA",HR & Finance,$249.9M,$7.3B,$65B,"18,800","Greylock Partners, NEA","HCM, Financial Management",4.2,WDAY,NASDAQ,Public,,249900000.0,7300000000.0,HR & People Ops
Zoom,2011,"San Jose, CA, USA",Video Communications,$145.5M,$4.5B,$85B,"7,388","Sequoia Capital, Emergence",Video Conferencing Platform,4.5,ZM,NASDAQ,Public,,145500000.0,4500000000.0,Communications & Video
Shopify,2006,"Ottawa, Canada",E-commerce,$122.3M,$7.1B,$95B,"11,600","Bessemer, FirstMark, Felicis",E-commerce Platform,4.4,SHOP,NYSE,Public,,122300000.0,7100000000.0,E-commerce & Web
