ticker,shares_outstanding,source_symbol
ADBE,397500000.0,ADBE
AFRM,296881962.0,AFRM
AMPL,103867086.0,AMPL
ASAN,159441754.0,ASAN
BILL,85276782.0,BILL
BOX,137200773.0,BOX
BRZE,112631669.0,BRZE
CFLT,,
CRM,823000000.0,CRM
CRWD,1023934842.0,CRWD
DBX,142295014.0,DBX
DDOG,334904614.0,DDOG
DOCU,186902452.0,DOCU
ESTC,104991280.0,ESTC
FIG,455113611.0,FIG
FIVN,74723531.0,FIVN
FROG,123301311.0,FROG
FRSH,236959436.0,FRSH
GTLB,165500000.0,GTLB
GTM,291110046.0,GTM
HUBS,51190708.0,HUBS
INTU,273537000.0,INTU
IOT,372784485.0,IOT
KVYO,140897018.0,KVYO
MDB,80431927.0,MDB
MNDY,42274119.0,MNDY
MQ,95911790.0,MQ
MSFT,7425545491.0,MSFT
NET,322618775.0,NET
NOW,1033862000.0,NOW
NTSK,267134729.0,NTSK
OKTA,167139757.0,OKTA
ORCL,2880471000.0,ORCL
PANW,815000000.0,PANW
PATH,453429560.0,PATH
PCOR,151955338.0,PCOR
PD,78649873.0,PD
PLTR,2300713329.0,PLTR
RBRK,160956763.0,RBRK
RNG,73736624.0,RNG
SAP,1154204232.0,SAP
SHOP,1219581025.0,SHOP
SNOW,352800000.0,SNOW
TEAM,159005198.0,TEAM
TOST,514000000.0,TOST
TTAN,82746425.0,TTAN
TWLO,153575220.0,TWLO
VEEV,161908850.0,VEEV
WDAY,196000000.0,WDAY
WIX,41849511.0,WIX
XYZ,540816000.0,XYZ
ZM,263233141.0,ZM
ZS,163054698.0,ZS
