company_name,ticker,industry,product,last_known_valuation,as_of_date,years_of_data,has_3y_history,current_price,shares_outstanding,current_market_cap,tsr_1y,tsr_3y,market_cap_3y_ago,market_cap_cagr_3y
Microsoft,MSFT,Enterprise Software,"Azure, Office 365, Teams",$3T,2026-09-08,2.99,True,493.9500122070313,7425545491.0,3667848285923.316,-0.0003732754077092615,,,
Oracle,ORCL,Database & Enterprise,"Oracle Cloud, NetSuite",$350B,2026-09-08,2.99,True,162.52000427246094,2880471000.0,468134159226.6998,-0.3107499764283711,,,
Palantir,PLTR,Data Analytics,Data Integration Platform,$52B,2026-09-08,2.99,True,170.3000030517578,2300713329.0,391811486949.91986,0.09096730552864707,,,
Palo Alto Networks,PANW,Cybersecurity,Security Platform,$95B,2026-09-08,2.99,True,336.9800109863281,815000000.0,274638708953.85745,0.7072651872027171,,,
SAP,SAP,Enterprise Software,"S/4HANA, SuccessFactors",$215B,2026-09-08,2.99,True,211.4900054931641,1154204232.0,244102659365.9132,-0.204059842312046,,,
CrowdStrike,CRWD,Cybersecurity,Endpoint Security Platform,$70B,2026-09-08,2.99,True,210.02000427246097,1023934842.0,215046799891.5616,0.9625286686006018,,,
Salesforce,CRM,CRM,"Sales Cloud, Service Cloud",$227.8B,2026-09-08,2.99,True,249.1199951171875,823000000.0,205025755981.4453,-0.00412858060613841,,,
Shopify,SHOP,E-commerce,E-commerce Platform,$95B,2026-09-08,2.99,True,134.10000610351562,1219581025.0,163545822896.23184,-0.08288876361650199,,,
ServiceNow,NOW,IT Service Management,IT Service Management Platform,$147B,2026-09-08,2.99,True,134.2100067138672,1033862000.0,138754625961.21216,-0.28560778090553385,,,
Snowflake,SNOW,Data Warehousing,Cloud Data Platform,$75B,2026-09-08,2.99,True,335.5,352800000.0,118364400000.0,0.48110539321929635,,,
Adobe,ADBE,Creative Software,"Creative Cloud, Document Cloud",$240B,2026-09-08,2.99,True,257.260009765625,397500000.0,102260853881.83594,-0.282718989742755,,,
Cloudflare,NET,Web Infrastructure,Web Performance & Security,$28B,2026-09-08,2.99,True,284.29998779296875,322618775.0,91720513794.28252,0.30460715024676843,,,
Intuit,INTU,Financial Software,"QuickBooks, TurboTax",$180B,2026-09-08,2.99,True,318.92999267578125,273537000.0,87239153406.55518,-0.5198414893568144,,,
Datadog,DDOG,Monitoring & Analytics,Infrastructure Monitoring,$44B,2026-09-08,2.99,True,210.22999572753903,334904614.0,70406995570.35312,0.5408237464509111,,,
Square,XYZ,Payments,Payment & POS Solutions,$85B,2026-09-08,2.99,True,80.0999984741211,540816000.0,43319360774.78027,0.05644946975104048,,,
Veeva Systems,VEEV,Life Sciences,Life Sciences Cloud,$35B,2026-09-08,2.99,True,264.8399963378906,161908850.0,42879939241.07208,-0.06344155357114911,,,
